,participant_id,I can never spend enough time on my mobile phone.,I have used my mobile phone to make myself feel better when I was feeling down.,"I find myself occupied on my mobile phone when I should be doing other things, and it causes problems.",All my friends own a mobile phone.,I have tried to hide from others how much time I spend on my mobile phone.,I lose sleep due to the time I spend on my mobile phone.,I have received mobile phone bills I could not afford to pay.,"When out of range for some time, I become preoccupied with the thought of missing a call.","Sometimes, when I am on the mobile phone and I am doing other things, I get carried away with the conversation and I don’t pay attention to what I am doing.",The time I spend on the mobile phone has increased over the last 12 months.,I have used my mobile phone to talk to others when I was feeling isolated.,I have attempted to spend less time on my mobile phone but am unable to.,I find it difficult to switch off my mobile phone.,I feel anxious if I have not checked for messages or switched on my mobile phone for some time.,I have frequent dreams about the mobile phone.,My friends and family complain about my use of the mobile phone.,"If I don't have a mobile phone, my friends would find it hard to get in touch with me. ",My productivity has decreased as a direct result of the time I spend on the mobile phone.,I have aches and pains that are associated with my mobile phone use.,I find myself engaged on the mobile phone for longer periods of time than intended.,There are times when I would rather use the mobile phone than deal with other more pressing issues.,I am often late for appointments because I'm engaged on the mobile phone when I shouldn't be.,"I become irritable if I have to switch off my mobile phone for meetings, dinner engagements, or at the movies.",I have been told that I spend too much time on my mobile phone.,"More than once I have been in trouble because my mobile phone has gone off during a meeting, lecture, or in a theatre.",My friends don't like it when my mobile phone is switched off.,I feel lost without my mobile phone.,Missing planned work due to smartphone use.,"Having a hard time concentrating in class, while doing assignments, or while working due to smartphone use.",Experiencing lightheadedness or blurred vision due to excessive smartphone use.,Feeling pain in the wrists or at the back of the neck while using a smartphone.,Feeling tired and lacking adequate sleep due to excessive smartphone use.,Feeling calm or cozy while using a smartphone.,Feeling pleasant or excited while using a smartphone.,Feeling confident while using a smartphone.,Being able to get rid of stress with a smartphone.,There is nothing more fun to do than using my smartphone.,My life would be empty without my smartphone. ,Feeling most liberal while using a smartphone.,Using a smartphone is the most fun thing to do. ,Won’t be able to stand not having a smartphone.,Feeling impatient and fretful when I am not holding my smartphone.,Having my smartphone in my mind even when I am not using it.,"I will never give up using my smartphone even when my daily life is already greatly affected
by it.",Getting irritated when bothered while using my smartphone.,Bringing my smartphone to the toilet even when I am in a hurry to get there.,Feeling great meeting more people via smartphone use.,"Feeling that my relationships with my smartphone buddies are more intimate than my
relationships with my real-life friends.",Not being able to use my smartphone would be as painful as losing a friend.,Feeling that my smartphone buddies understand me better than my real-life friends.,"Constantly checking my smartphone so as not to miss conversations between other people
on Twitter or Facebook.",Checking SNS (Social Networking Service) sites like Twitter or Facebook right after waking up.,"Preferring talking with my smartphone buddies to hanging out with my real-life friends or
with the other members of my family.",Preferring searching from my smartphone to asking other people.,My fully charged battery does not last for one whole day.,Using my smartphone longer than I had intended.,Feeling the urge to use my smartphone again right after I stopped using it.,"Having tried time and again to shorten my smartphone use time, but failing all the time.",Always thinking that I should shorten my smartphone use time.,The people around me tell me that I use my smartphone too much.,How much do you agree with the statement: I am addicted to my smartphone?,My phone is on [Silent / DND],My phone is on [Vibrate only],My phone is on [Loud],Do you receive notifications on some other device instead (like a smartwatch)?,What emotions are typically associated with receiving smartphone notifications?,How did you feel about the notifications during the first half of the experiment?,How did you feel about the notifications during the 2nd half of the experiment?,MPPUS,SAS
277,pamgr93,4,7,10,8,8,9,4,8,8,9,7,10,9,7,3,8,5,8,8,8,8,6,5,8,9,5,9,5,5,6,5,6,3,3,3,5,2,2,4.0,3,2,5,4,3,5,4,5,4,5,5,3,5,4,3.0,5.0,5,5,4,5,6,Neutral,Often,Sometimes,Sometimes,No,Neutral,,,,
278,prmgr70,3,8,7,10,2,8,4,5,3,7,8,9,9,6,2,6,9,9,1,9,4,3,4,6,4,6,1,3,4,5,4,6,5,4,5,2,1,1,4.0,2,1,3,2,1,5,1,6,3,2,3,4,4,1,5.0,6.0,4,4,5,5,3,Agree,Never,Sometimes,Often,No,Neutral,,,,
279,ammgr73,3,7,5,10,2,8,4,6,4,9,10,2,2,2,2,8,9,2,5,8,8,2,2,8,8,8,8,2,5,6,5,5,3,3,3,4,3,2,2.0,1,1,3,1,3,5,5,4,1,1,1,2,4,1,1.0,6.0,3,3,2,1,1,Neutral,Sometimes,Often,Always,No,Neutral,,,,
280,pamgr96,7,8,1,10,1,1,1,8,1,7,8,1,1,10,1,1,4,1,1,3,5,1,6,1,10,10,4,2,1,1,1,1,4,4,5,3,1,1,1.0,1,2,3,2,1,1,1,5,1,1,1,6,4,3,4.0,2.0,1,1,1,2,1,Neutral,Often,Sometimes,Sometimes,No,Exciting,,,,
281,shmpo62,8,9,10,10,6,10,2,1,8,5,7,10,10,4,1,3,10,10,8,10,10,8,4,8,8,8,7,6,6,4,6,6,4,5,4,5,3,3,6.0,5,6,4,1,1,1,3,3,2,3,4,4,6,3,6.0,4.0,6,6,6,6,3,Strongly agree,Sometimes,Always,Sometimes,Yes,Neutral,,,,
282,armpo91,7,8,8,10,6,6,3,2,7,5,7,5,9,9,3,6,7,8,5,8,7,4,3,5,5,9,7,5,5,5,4,2,5,5,4,5,4,5,5.0,3,4,5,5,4,4,5,5,3,5,5,3,5,3,4.0,2.0,5,5,5,5,4,Agree,Often,Never,Sometimes,Yes,Neutral,,,,
283,kemgr90,3,7,8,10,10,9,4,5,8,10,10,10,8,6,2,6,2,10,2,8,9,7,4,9,8,9,8,6,6,6,3,3,2,5,5,4,4,4,4.0,4,4,4,4,4,5,3,3,4,4,3,1,6,3,4.0,5.0,2,3,4,4,4,Neutral,Often,Sometimes,Often,No,Neutral,,,,
284,vamgr93,3,5,7,10,6,5,1,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4,4,4,4,4,Neutral,Always,Sometimes,Often,No,Exciting,,,,
285,vemgr63,1,8,9,10,6,10,5,7,10,10,5,10,1,1,1,5,8,10,5,10,8,1,1,1,8,1,4,6,6,1,6,6,4,3,1,6,3,1,1.0,2,1,1,1,2,3,4,1,1,1,1,1,3,1,6.0,4.0,6,3,5,3,1,Neutral,Often,Often,Never,Yes,Neutral,,,,
286,tamgr88,3,4,6,10,2,8,1,3,5,4,7,3,6,2,1,4,3,6,2,7,5,3,3,6,2,8,3,3,5,1,2,3,3,3,4,2,1,1,3.0,1,5,1,2,2,3,1,2,1,1,1,1,3,1,5.0,5.0,5,4,3,5,2,Disagree,Sometimes,Often,Sometimes,No,Neutral,,,,
287,akmgr98,2,2,6,10,1,6,1,9,5,1,10,2,9,3,1,1,10,3,1,7,3,1,2,4,8,9,10,1,2,1,1,2,4,4,3,4,1,5,1.0,3,5,2,1,2,3,1,2,1,4,1,1,5,1,4.0,1.0,3,1,3,3,2,Strongly disagree,Often,Often,Often,No,Neutral,,,,
288,kamgr74,1,10,7,10,5,1,2,10,10,8,6,7,10,10,1,1,6,3,4,6,8,2,1,4,3,3,6,3,5,5,3,3,5,5,5,4,6,6,3.0,6,6,6,4,2,3,4,6,1,3,1,6,6,1,4.0,3.0,3,6,3,3,2,Neutral,Sometimes,Sometimes,Always,Yes,Neutral,,,,
289,nimgr85,2,8,10,10,7,8,4,9,10,9,7,10,8,9,7,7,3,9,8,9,9,8,9,10,5,6,8,5,5,5,5,5,1,2,1,3,1,3,1.0,2,3,3,5,4,3,5,4,4,4,3,6,6,4,6.0,6.0,6,6,6,6,5,Strongly agree,Sometimes,Sometimes,Often,No,Neutral,,,,
290,p.mgr63,3,5,5,5,5,6,4,4,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,2,3,3,4,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,4,4,4,3,4,3,4,3,4.0,3.0,4,2,4,3,3,Disagree,Often,Always,Sometimes,No,Sad,,,,
291,anfpo77,1,8,8,10,1,1,1,10,5,8,8,1,1,8,1,1,10,1,1,1,8,1,1,1,1,10,1,1,1,6,1,6,1,6,1,1,6,4,1.0,1,1,1,1,1,1,1,6,6,1,1,4,1,1,6.0,6.0,4,1,1,1,1,Strongly disagree,Always,Always,Never,Yes,Exciting,,,,
292,yafpo70,7,9,9,10,3,8,2,8,9,7,4,8,9,9,1,6,9,8,5,9,8,8,7,4,9,8,9,4,4,5,6,5,3,4,5,4,3,4,4.0,4,5,5,5,6,5,6,2,1,5,1,4,6,1,3.0,6.0,6,6,6,6,3,Agree,Sometimes,Often,Always,No,Neutral,,,,
293,prmgr70,3,8,8,10,1,3,1,2,2,8,5,8,8,2,8,8,10,10,5,9,8,3,2,9,2,2,3,4,6,6,3,5,4,5,5,5,1,1,2.0,2,5,2,4,1,1,5,6,1,2,1,1,5,1,5.0,5.0,5,5,5,5,5,Agree,Often,Often,Sometimes,Yes,Exciting,,,,
294,yamgr95,5,8,10,10,10,10,1,8,8,10,10,10,10,10,6,10,5,10,8,8,8,8,4,8,5,1,5,3,3,2,2,4,4,4,4,5,5,5,5.0,5,5,3,4,2,5,1,5,2,3,3,3,3,3,2.0,3.0,4,2,3,3,3,Agree,Sometimes,Often,Sometimes,No,Exciting,,,,
295,anmgr96,7,4,8,10,1,8,4,6,8,2,9,10,10,3,1,1,8,7,2,6,8,3,4,2,1,4,7,4,6,2,2,4,2,3,5,1,1,1,2.0,1,2,3,5,4,1,6,6,5,3,4,6,6,2,5.0,2.0,4,4,5,6,1,Neutral,Sometimes,Often,Always,No,Annoying,,,,
296,nimgr90,3,5,6,10,3,2,1,1,5,1,1,7,4,1,1,6,6,5,4,5,7,7,1,5,8,1,2,3,3,4,1,2,2,3,3,2,2,4,4.0,3,3,3,3,3,4,4,3,1,1,1,3,6,1,1.0,3.0,3,3,3,5,4,Neutral,Never,Often,Sometimes,Yes,Neutral,,,,
297,defpo70,4,2,1,10,2,3,1,1,1,3,2,1,1,2,1,1,8,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1,1,1,1,1,Strongly disagree,Sometimes,Often,Never,No,Neutral,,,,
298,ammpo77,5,2,4,10,1,2,1,2,2,1,7,5,3,6,1,2,9,7,2,2,2,2,2,2,2,8,2,4,4,1,1,2,1,5,1,4,1,1,1.0,1,3,1,2,1,3,1,2,2,2,4,2,6,3,3.0,4.0,3,3,4,3,1,Neutral,Always,Never,Never,No,Exciting,,,,
299,mampo70,3,10,10,10,10,10,10,9,9,9,10,7,10,10,10,7,10,10,9,10,9,10,10,10,10,10,10,5,5,4,6,6,5,6,6,5,6,6,6.0,6,6,6,6,6,6,1,6,5,5,5,5,5,5,5.0,5.0,5,5,5,5,6,Strongly agree,Always,Never,Often,No,Neutral,,,,
300,prmpo99,2,9,9,10,8,5,2,6,7,6,4,9,9,6,4,7,6,9,2,9,6,6,6,7,4,4,9,4,5,3,3,3,4,5,5,5,4,5,5.0,4,5,5,5,5,5,6,5,5,5,2,3,5,2,5.0,6.0,6,5,6,6,5,Agree,Sometimes,Sometimes,Sometimes,Yes,Neutral,,,,
301,abmcl84,1,9,9,9,1,9,1,1,9,9,9,2,4,4,1,6,8,6,3,8,8,1,1,6,5,4,7,1,4,5,3,4,4,3,3,3,1,1,1.0,3,1,1,1,3,3,3,2,1,1,1,1,1,1,2.0,1.0,4,1,2,1,4,Neutral,Never,Sometimes,Never,No,Neutral,,,,
302,samgr63,7,8,7,10,2,7,1,1,2,8,2,7,2,3,1,9,10,10,10,10,10,10,10,10,10,10,10,5,6,6,6,6,6,6,6,6,6,6,6.0,6,6,6,1,6,6,1,1,1,4,1,1,1,1,1.0,6.0,6,6,6,6,6,Agree,Always,Never,Often,No,Exciting,,,,
303,abmgr96,5,4,5,8,4,6,3,9,3,2,9,4,9,4,2,3,6,6,1,7,5,7,2,4,1,10,8,3,5,4,4,3,3,3,4,2,3,1,5.0,2,1,1,4,4,3,3,1,4,6,4,2,1,5,4.0,6.0,4,3,2,5,5,Agree,Sometimes,Never,Sometimes,No,Neutral,,,,
304,chmgr99,3,4,3,5,5,5,4,4,7,6,3,1,4,4,5,8,7,4,5,4,6,6,4,5,5,8,3,3,5,4,5,4,5,5,5,5,5,5,4.0,3,3,4,4,3,5,3,3,4,4,3,4,3,4,5.0,1.0,2,2,3,3,4,Neutral,Sometimes,Often,Often,No,Sad,,,,
305,avfgr90,3,9,7,10,3,5,1,4,5,10,10,6,4,9,1,5,7,2,3,8,9,7,1,5,1,8,9,4,4,5,2,6,5,6,5,5,5,6,4.0,5,5,4,1,2,3,4,2,3,2,2,4,3,2,3.0,1.0,4,4,5,5,3,Agree,Sometimes,Never,Often,No,Exciting,,,,
306,shmgr91,5,3,4,5,4,7,5,3,7,4,3,9,8,5,7,6,4,3,6,2,2,6,6,5,2,6,4,3,3,5,3,3,4,2,2,4,5,4,4.0,3,3,3,3,3,5,3,3,3,3,2,3,3,5,3.0,3.0,2,5,5,5,3,Neutral,Sometimes,Never,Often,Yes,Annoying,,,,
307,kumgr99,8,10,10,10,8,8,1,3,1,5,1,10,10,4,1,3,2,10,5,10,10,10,2,6,1,3,4,6,6,5,5,4,2,3,1,2,2,6,3.0,2,6,1,1,6,6,6,1,1,6,1,1,5,1,3.0,6.0,6,6,6,6,3,Strongly agree,Never,Sometimes,Always,Yes,Exciting,,,,
308,demgr81,7,8,7,10,3,7,7,6,7,3,7,3,3,7,3,3,3,7,3,7,8,3,2,3,8,3,7,4,4,4,2,3,2,2,2,2,2,2,2.0,2,2,2,2,2,2,2,4,2,2,2,2,4,2,4.0,4.0,4,4,3,3,2,Disagree,Sometimes,Always,Sometimes,No,Exciting,,,,
309,kamcl98,4,4,7,5,4,6,2,2,7,8,7,2,3,2,9,8,9,5,4,2,3,9,9,8,5,5,7,2,4,6,2,1,6,2,4,5,4,4,4.0,3,4,5,1,2,6,6,6,6,6,6,4,5,2,3.0,2.0,2,5,6,1,1,Strongly disagree,Never,Often,Sometimes,Yes,Annoying,,,,
310,hamgr79,5,5,5,6,6,4,7,5,6,6,5,6,6,7,5,7,5,7,5,4,7,6,8,5,6,5,4,3,2,4,3,2,4,5,2,3,5,3,2.0,3,2,3,2,3,2,3,3,3,4,3,3,2,4,3.0,2.0,2,3,3,3,3,Neutral,Often,Sometimes,Sometimes,Yes,Neutral,,,,
311,kamgr89,7,9,4,9,5,8,8,4,9,7,4,9,8,8,3,8,6,9,9,9,4,8,6,8,7,8,5,3,5,5,4,5,2,5,5,4,6,4,5.0,5,5,4,5,5,5,5,4,4,5,4,5,4,5,5.0,3.0,5,5,5,5,4,Disagree,Always,Often,Often,No,Neutral,,,,
312,mamgr81,3,9,5,4,4,6,7,5,6,5,5,5,6,8,7,8,4,3,6,3,3,5,3,8,3,8,6,3,5,4,4,3,5,5,3,6,4,5,5.0,6,5,6,6,5,5,4,5,6,6,4,5,3,5,5.0,6.0,6,5,5,5,5,Agree,Sometimes,Sometimes,Often,No,Neutral,,,,
313,defcl98,2,7,9,10,7,7,1,10,7,8,8,8,6,5,1,6,4,4,4,4,4,5,5,5,5,5,5,5,5,4,3,4,4,4,3,4,4,3,4.0,3,4,3,4,4,3,4,3,4,3,4,3,4,3,3.0,3.0,3,3,3,3,3,Neutral,Never,Sometimes,Often,Yes,Annoying,,,,
314,shmcl94,1,10,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,8,6,8,3,2,4,4,3,6,5,4,4,6,1,2,2.0,4,3,4,6,4,5,4,2,6,3,4,3,6,4,5.0,5.0,4,3,4,4,3,Strongly disagree,Sometimes,Always,Sometimes,No,Annoying,,,,
315,nimgr97,2,4,2,5,3,8,10,2,3,5,4,5,4,3,4,6,7,5,3,7,5,2,6,8,8,2,8,2,4,3,2,4,5,3,2,1,5,2,1.0,3,5,3,2,1,6,5,3,4,6,3,3,3,2,3.0,2.0,2,3,4,4,5,Agree,Never,Sometimes,Often,No,Annoying,,,,
316,simgr95,7,10,10,10,4,10,1,5,6,4,5,8,7,10,1,1,4,6,1,7,8,4,1,10,3,6,5,2,5,4,1,4,4,4,2,4,4,3,4.0,6,2,2,3,2,3,5,3,3,2,4,4,4,3,4.0,1.0,5,3,3,3,1,Neutral,Sometimes,Often,Sometimes,No,Exciting,,,,
317,sampo96,1,5,10,10,1,8,1,8,7,8,6,8,8,7,1,1,5,7,7,8,5,1,5,1,5,3,3,1,3,5,6,4,2,3,1,1,3,1,2.0,1,1,4,1,1,1,1,3,1,3,1,2,5,2,6.0,6.0,4,5,5,6,2,Agree,Always,Always,Sometimes,No,Annoying,,,,
318,armpo94,4,3,6,10,5,8,1,5,4,4,3,6,6,6,3,4,7,5,5,7,5,5,1,3,4,5,4,3,3,4,2,5,5,4,3,2,1,1,1.0,1,1,1,2,2,2,1,3,4,3,4,3,2,4,3.0,6.0,4,5,5,4,2,Agree,Often,Often,Sometimes,No,Exciting,,,,
319,tafgr70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,6,5,6,6,5,6,5,5,4,7,7,4,3,4,4,4,4,4,4,4,4,4,4.0,3,4,4,4,3,4,4,3,4,4,4,4,2,4,4.0,3.0,3,4,3,4,3,Neutral,Often,Sometimes,Never,Yes,Neutral,,,,
320,aafcl78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,3,4,3,4,3,4,3,4.0,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3.0,4.0,3,4,3,4,3,Neutral,Sometimes,Sometimes,Sometimes,Yes,Neutral,,,,
321,safpo95,8,6,9,10,9,10,4,9,9,10,10,9,10,9,2,8,7,9,9,9,10,6,8,8,6,1,6,5,5,6,6,6,2,4,3,5,1,1,1.0,2,3,6,3,1,5,6,4,1,1,1,4,6,1,1.0,6.0,6,6,6,6,5,Agree,Sometimes,Often,Often,Yes,Annoying,,,,
322,utfgr63,6,7,8,10,6,7,1,1,5,8,8,7,3,1,1,2,8,8,3,8,8,8,1,2,1,1,1,6,4,4,3,4,4,4,4,4,2,1,2.0,1,1,1,1,1,1,1,1,1,1,1,2,3,1,4.0,4.0,4,4,4,4,1,Disagree,Often,Often,Sometimes,No,Neutral,,,,
323,aamcl96,4,4,6,6,3,7,5,3,8,4,4,2,9,7,6,5,2,6,5,5,8,5,3,8,3,3,6,5,4,4,4,4,2,3,2,3,5,5,4.0,4,3,5,4,2,4,3,5,5,4,3,5,3,5,4.0,2.0,5,3,4,5,3,Neutral,Often,Sometimes,Often,Yes,Neutral,,,,
324,abmgr99,2,2,5,10,1,3,1,1,1,2,1,2,1,2,3,5,2,2,1,4,4,3,5,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,Strongly disagree,Often,Sometimes,Never,No,Neutral,,,,
325,anmpo93,6,7,4,10,4,3,1,4,6,4,7,6,3,2,1,4,2,6,1,3,6,3,4,3,7,3,1,2,2,1,1,1,3,2,3,3,2,2,3.0,2,1,1,1,2,1,1,4,1,1,1,1,3,1,3.0,4.0,3,2,4,4,3,Neutral,Often,Often,Sometimes,No,Neutral,,,,
326,himgr88,2,8,7,10,1,3,1,4,2,3,5,1,5,7,1,1,7,8,1,7,5,1,1,1,1,1,1,4,2,1,1,2,4,2,5,5,1,1,2.0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1.0,1.0,3,2,2,1,1,Neutral,Often,Never,Sometimes,No,Neutral,,,,
327,mamgr78,7,7,5,10,8,7,7,5,6,8,7,10,8,10,1,8,1,7,3,7,7,8,7,8,8,8,8,5,4,4,4,5,5,5,6,2,5,5,4.0,5,5,5,5,4,6,6,4,4,3,2,3,3,4,3.0,3.0,3,4,4,4,4,Agree,Sometimes,Always,Never,No,Exciting,,,,
328,admgr78,7,7,5,10,2,8,2,2,2,5,4,3,5,4,2,6,7,5,4,4,5,3,3,3,2,2,3,3,3,4,3,4,4,3,3,4,3,5,4.0,4,4,5,3,3,2,1,3,2,2,2,2,1,1,2.0,4.0,3,3,3,3,4,Neutral,Sometimes,Often,Sometimes,No,Neutral,,,,
329,ommgr72,1,6,9,10,8,10,4,7,7,3,10,8,10,8,1,8,6,10,2,10,8,3,1,4,2,1,7,6,2,6,4,6,1,4,1,5,1,1,1.0,1,1,1,1,2,4,2,2,1,1,1,3,5,1,4.0,4.0,6,4,5,4,3,Neutral,Often,Sometimes,Often,No,Sad,,,,
330,hifcl93,4,4,5,5,5,4,6,4,4,6,6,4,5,5,3,5,4,5,4,5,4,4,5,5,5,5,4,5,4,3,3,4,3,4,4,3,3,4,4.0,3,3,4,3,4,3,4,3,4,3,4,4,3,3,4.0,4.0,3,3,4,4,3,Neutral,Always,Often,Often,No,Neutral,,,,
331,sumgr86,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3,3,3,3,3,Neutral,Sometimes,Sometimes,Sometimes,No,Neutral,,,,
332,samgr93,7,10,10,10,9,10,6,6,8,8,6,9,8,7,5,8,7,8,6,10,10,9,7,9,2,7,6,6,5,4,5,6,5,4,2,5,4,3,4.0,3,4,2,2,2,3,2,5,2,1,2,5,6,2,5.0,5.0,6,6,6,6,5,Strongly agree,Often,Always,Never,Yes,Neutral,,,,
333,ramcl63,4,9,8,10,5,6,1,1,3,10,1,5,5,1,1,2,1,4,2,7,5,5,4,4,4,6,3,4,5,3,3,1,3,5,4,5,2,2,3.0,6,4,3,4,4,5,1,5,1,4,4,2,5,1,5.0,6.0,5,5,1,2,2,Neutral,Sometimes,Often,Sometimes,No,Neutral,,,,
334,pamgr73,3,5,7,5,4,6,7,6,5,5,5,4,7,5,7,6,5,5,6,8,2,4,7,6,6,5,4,4,3,4,4,2,3,4,4,2,4,3,4.0,3,3,4,4,3,4,3,3,4,4,4,4,4,2,3.0,2.0,3,5,3,3,5,Neutral,Often,Sometimes,Sometimes,Yes,Neutral,,,,
335,prmgr74,3,4,3,6,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3,3,3,3,3,Neutral,Often,Sometimes,Sometimes,No,Neutral,,,,
336,admgr94,1,10,6,4,6,5,4,6,4,6,1,4,5,4,6,5,4,6,6,5,6,5,6,5,4,6,4,4,2,4,4,4,3,4,3,3,4,3,4.0,6,1,3,4,4,3,4,3,3,3,4,4,5,4,5.0,3.0,3,4,4,2,3,Neutral,Never,Always,Never,No,Neutral,,,,
337,armgr99,6,4,7,10,8,9,7,5,8,9,5,9,8,8,5,8,5,10,4,8,7,6,6,8,5,4,6,4,5,3,4,5,5,4,3,2,2,2,3.0,3,3,3,2,4,3,1,5,2,2,2,5,4,1,1.0,6.0,6,4,4,6,5,Agree,Never,Always,Sometimes,No,Neutral,,,,
338,bimgr70,2,3,3,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,5,4,4,4,3,3,4,4,3,3,3,3.0,3,3,3,4,4,3,3,4,3,4,4,4,4,4,4.0,4.0,4,4,3,3,4,Neutral,Always,Often,Never,No,Neutral,,,,
339,armgr98,2,2,2,9,2,2,2,2,3,2,2,2,2,2,2,2,4,2,1,2,2,2,2,2,2,3,2,1,1,1,2,1,1,2,1,2,1,1,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2,2,2,2,2,Agree,Often,Always,Sometimes,No,Neutral,,,,
340,armgr73,6,4,3,3,7,7,8,8,9,10,8,9,7,7,6,5,6,9,10,5,7,5,5,7,7,1,1,5,3,5,4,4,2,2,1,2,6,2,3.0,5,2,3,1,3,3,6,3,4,4,2,2,3,3,4.0,1.0,4,1,5,3,4,Disagree,Sometimes,Often,Sometimes,No,Sad,,,,
341,semgr95,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5,5,5,5,Neutral,Sometimes,Often,Always,Yes,Neutral,,,,
342,semgr96,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5,5,5,5,Agree,Sometimes,Often,Always,Yes,Neutral,,,,
343,prfgr91,2,3,6,5,6,6,6,7,5,5,3,8,3,4,6,6,8,6,7,8,8,6,6,8,6,6,5,2,2,2,2,2,3,3,3,3,3,3,4.0,4,4,3,3,3,4,4,5,4,3,4,4,4,3,5.0,4.0,4,4,4,4,4,Disagree,Sometimes,Often,Never,Yes,Neutral,,,,
344,prmgr91,5,5,5,5,7,3,8,3,5,3,7,9,3,9,3,9,3,9,3,8,3,9,2,8,2,9,2,5,5,2,5,2,5,2,5,3,5,2,5.0,3,4,4,5,2,5,2,4,2,5,2,2,5,5,5.0,5.0,3,3,2,2,5,Agree,Often,Often,Never,No,Exciting,,,,
345,kumgr70,7,6,9,10,4,2,1,4,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3.0,3.0,3,3,3,3,3,Neutral,Always,Never,Sometimes,No,Neutral,,,,
346,mafgr84,5,8,9,10,7,10,1,4,7,10,10,10,7,8,1,8,3,9,5,9,8,10,6,8,5,8,5,6,6,2,2,6,3,3,4,5,2,2,4.0,2,5,3,1,3,4,2,3,2,2,4,5,6,4,5.0,4.0,6,5,6,6,4,Agree,Sometimes,Sometimes,Often,No,Annoying,,,,
347,samgr94,6,6,6,8,2,5,2,2,4,7,8,2,4,7,3,4,2,7,5,6,5,5,1,5,4,2,5,4,3,3,4,5,4,4,3,3,2,3,3.0,1,3,2,1,4,4,3,1,1,2,2,3,3,1,3.0,5.0,4,4,3,3,2,Neutral,Sometimes,Sometimes,Sometimes,Yes,Neutral,,,,
348,pamgr94,6,6,4,10,6,5,1,4,4,6,5,4,4,5,5,5,4,5,4,5,4,5,5,5,5,3,3,3,3,3,2,2,3,3,2,3,2,2,2.0,1,1,2,3,2,2,2,3,2,2,3,2,5,2,2.0,2.0,4,3,3,3,3,Disagree,Sometimes,Often,Always,Yes,Neutral,,,,
349,vemcl84,3,4,3,9,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4.0,4.0,3,4,5,3,4,Neutral,Often,Sometimes,Often,Yes,Neutral,,,,
350,shmgr98,10,10,10,10,10,10,10,5,2,8,6,5,5,10,6,10,5,10,5,1,1,5,10,6,8,4,9,4,4,2,6,6,2,4,3,6,3,4,6.0,1,6,6,6,3,5,4,6,4,4,6,1,6,4,4.0,6.0,4,5,3,6,3,Neutral,Often,Sometimes,Always,No,Annoying,,,,
351,abmgr99,5,7,4,10,4,2,2,2,2,4,5,4,7,4,6,1,6,7,4,7,4,6,4,6,5,5,3,3,4,3,4,3,2,2,2,2,4,2,2.0,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1.0,2.0,1,2,1,1,2,Disagree,Sometimes,Sometimes,Often,Yes,Neutral,,,,
